PID	Status	Label
73809	-9	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
73851	0	application.com.withmarko.OneMenu.36028855.53398188
698	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
618	0	com.apple.BTServer.cloudpairing
82985	0	application.com.apple.Preview.1152921500311896979.1152921500311896984
502	0	com.apple.coreservices.sharedfilelistd
465	0	com.apple.pboard
-	0	com.apple.nowplayingtouchui
-	0	com.apple.MobileAccessoryUpdater.fudHelperAgent
1640	0	com.apple.reversetemplated
45550	0	application.com.apple.MobileSMS.1152921500311887775.1152921500311887842
54516	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
480	0	com.apple.rapportd
724	0	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
548	0	com.apple.TextInputUI.xpc.CursorUIViewService
-	0	com.apple.metadata.mdflagwriter
-	-9	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
496	0	com.apple.containermanagerd
591	0	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
28247	0	com.apple.mdworker.shared.04000000-0200-0000-0000-000000000000
-	0	com.apple.Notes.datastore
82232	-9	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
-	0	com.apple.IOUIAgent
629	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
-	0	com.apple.previewshellapp
510	0	com.apple.accountsd
564	0	com.apple.cdpd
484	0	com.apple.routined
492	0	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
589	0	org.pqrs.karabiner.karabiner_console_user_server
605	0	com.apple.BiomeAgent
-	0	com.apple.storelegacy
1129	0	com.apple.OSDUIHelper
544	0	com.apple.audio.AudioComponentRegistrar
690	0	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
493	0	com.apple.lockoutagent
-	0	com.apple.videosubscriptionsd
549	0	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
523	0	com.apple.notificationcenterui.agent
633	0	com.apple.protectedcloudstorage.protectedcloudkeysyncing
534	0	com.apple.imklaunchagent
-	0	com.apple.imcore.imtransferagent
98304	-9	com.apple.mobiletimerd
-	0	com.apple.btsa
612	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
11991	0	com.apple.EscrowSecurityAlert
79145	-9	com.apple.MTLAssetUpgraderD
82994	0	com.apple.ptpcamerad
39132	-11	com.apple.metadata.mdwrite
65633	0	application.com.apple.systempreferences.1152921500311903985.1152921500311903990
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	0	com.apple.spotlightknowledged
-	0	com.apple.securityuploadd
-	-9	com.apple.lockdownmoded
-	0	com.apple.RapportUIAgent
557	0	com.apple.siriknowledged
3127	0	com.apple.powerchime
584	0	org.pqrs.karabiner.karabiner_session_monitor
541	0	com.apple.sharingd
689	0	com.apple.seserviced
-	0	com.apple.iCloudUserNotificationsd
97235	-9	com.apple.metrickitd
-	0	com.apple.storeassetd
567	0	com.apple.familycircled
-	0	com.apple.FontRegistryUIAgent
93101	-9	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
626	0	com.apple.TextInputSwitcher
532	0	com.apple.intelligentroutingd
25115	-9	com.apple.AMPArtworkAgent
576	0	com.apple.imagent
2294	-9	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
97323	-9	com.apple.assistant_cdmd
785	0	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
22692	0	com.apple.imautomatichistorydeletionagent
466	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
462	0	com.apple.talagent
529	0	com.apple.suggestd
-	0	com.apple.navd
-	0	com.apple.appleidsetupd
-	0	com.apple.RemoteDesktop.agent
637	0	com.apple.iCloudNotificationAgent
599	0	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
676	0	com.apple.Maps.mapssyncd
-	0	com.apple.gputoolsserviced
495	0	com.apple.usernotificationsd
-	0	com.apple.FamilyControlsAgent
-	0	com.apple.AssistiveControl
636	0	com.apple.icloud.fmfd
823	0	com.apple.CoreSimulator.SimulatorTrampoline
-	0	com.apple.CoreDevice.CoreDeviceService
821	0	com.apple.CoreSimulator.CoreSimulatorService
-	0	com.apple.mdworker.single.arm64
504	0	com.apple.FileProvider
473	0	com.apple.secd
494	0	com.apple.hiservices-xpcservice
40546	0	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
28245	0	com.apple.mdworker.shared.06000000-0700-0000-0000-000000000000
553	0	com.apple.assistantd
780	0	com.apple.studentd
-	0	com.apple.FollowUpUI
627	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
581	0	com.apple.uikitsystemapp
-	0	com.apple.controlstrip
646	0	com.apple.financed
758	0	application.org.pqrs.Karabiner-Menu.39348861.39348874
642	0	com.apple.findmy.findmylocateagent
-	0	com.apple.previewsd
-	0	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
-	0	com.apple.assessmentagent
479	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
781	0	com.apple.scopedbookmarksagent.xpc
677	0	com.apple.ensemble
84412	-9	com.apple.ReportCrash
678	0	com.apple.biomesyncd
28038	0	com.koekeishiya.yabai
86161	-9	com.apple.ciphermld
649	0	com.apple.UsageTrackingAgent
647	0	com.apple.email.maild
547	0	application.com.xs-labs.Hot.15357218.15357228
515	0	com.apple.donotdisturbd
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
-	0	com.apple.Maps.mapspushd
-	0	com.apple.voicememod
2190	0	com.apple.gamed
-	0	com.apple.STMUIHelper
590	0	com.apple.knowledge-agent
-	0	com.apple.midiserver
88312	0	com.apple.mobiledeviceupdater
-	0	com.apple.helpd
-	0	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
488	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.diskspaced
-	0	com.google.GoogleUpdater.wake
1058	0	com.apple.passd
37147	0	com.apple.DictationIM
528	0	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
-	0	com.apple.iCloudHelper
85565	-9	com.apple.CharacterPicker.FileService
80972	-9	com.apple.keychainsharingmessagingd
-	0	com.apple.MessageUIMacHelperService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
-	-9	com.apple.podcasts.PodcastContentService
539	0	com.apple.CoreAuthentication.agent
512	0	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
536	0	com.apple.chronod
531	0	com.apple.accessibility.heard
602	0	com.apple.corespeechd
-	0	com.apple.AMPSystemPlayerAgent
592	0	com.apple.itunescloudd
-	0	com.apple.scrod
83324	-9	com.apple.spindump_agent
